seq	date	url	kind	resolution	state
48	2026-09-18	https://aclanthology.org/2025.findings-acl.1226	manual-override	'adjacent' -> 'papers|media'	hot
79	2026-09-25	https://agentclientprotocol.com/	manual-override	'adjacent' -> 'docs|harnesses'	hot
76	2026-09-23	https://aitmpl.com/component/mod/productivity/jev-skill-suggestion	manual-override	'adjacent' -> 'skills'	hot
53	2026-09-18	https://arxiv.org/abs/2307.14335	manual-override	'papers' -> 'papers|media'	hot
54	2026-09-18	https://arxiv.org/abs/2408.09869	manual-override	'papers' -> 'papers|ingestion'	hot
58	2026-09-18	https://arxiv.org/abs/2503.00455	manual-override	'papers' -> 'papers|media'	hot
55	2026-09-18	https://arxiv.org/abs/2510.00485	manual-override	'papers' -> 'papers|media|eval'	hot
56	2026-09-18	https://arxiv.org/abs/2510.08373	manual-override	'papers' -> 'papers|media'	hot
57	2026-09-18	https://arxiv.org/abs/2510.23541	manual-override	'papers' -> 'papers|media'	hot
44	2026-09-18	https://blaizzy.github.io/mlx-audio/models/tts	manual-override	'adjacent' -> 'docs|media'	hot
59	2026-09-18	https://blog.google/innovation-and-ai/models-and-research/google-labs/notebooklm-audio-overviews-50-languages	manual-override	'learning' -> 'media|learning'	hot
60	2026-09-18	https://blog.google/innovation-and-ai/models-and-research/google-labs/notebooklm-new-features-december-2024	manual-override	'learning' -> 'media|learning'	hot
61	2026-09-18	https://blog.google/innovation-and-ai/products/notebooklm-update-october-2024	manual-override	'learning' -> 'media|learning'	hot
78	2026-09-25	https://buzz.xyz/	manual-override	'adjacent' -> 'docs|harnesses'	hot
46	2026-09-18	https://deepmind.google/blog/pushing-the-frontiers-of-audio-generation	manual-override	'adjacent' -> 'media|learning'	cold
52	2026-09-18	https://deepmind.google/blog/pushing-the-frontiers-of-audio-generation	kept-manual	kept 'media|learning|map', auto said 'adjacent'	hot
3	2026-07-27	https://docs.cloud.google.com/spanner/docs/graph/overview	manual-override	'docs|frameworks' -> 'docs|adjacent|map'	hot
75	2026-09-23	https://docs.typesafe.ai/	manual-override	'adjacent' -> 'serving|docs'	hot
49	2026-09-18	https://eqbench.com/creative_writing.html	manual-override	'adjacent' -> 'eval'	hot
43	2026-09-02	https://genai.owasp.org/2025/12/09/owasp-top-10-for-agentic-applications-the-benchmark-for-agentic-security-in-the-age-of-autonomous-ai	manual-override	'adjacent' -> 'security|docs'	hot
37	2026-09-02	https://github.com/CaviraOSS/PageLM	manual-override	'triage' -> 'learning|adjacent'	hot
2	2026-07-27	https://github.com/DeusData/codebase-memory-mcp	tag-union	'memory' + 'codeintel|memory' -> 'memory|codeintel'	hot
25	2026-08-14	https://github.com/Evokoa/pgGraph	manual-override	'triage' -> 'vectordb|rag|adjacent'	hot
35	2026-09-02	https://github.com/FlashML-org/FreeToken	manual-override	'triage' -> 'serving|models'	hot
24	2026-08-14	https://github.com/HKUDS/OpenSpace	manual-override	'triage' -> 'skills|harnesses|eval'	hot
15	2026-08-14	https://github.com/InsForge/InsForge	manual-override	'triage' -> 'harnesses|serving|skills'	hot
32	2026-09-02	https://github.com/MakazhanAlpamys/Soup	manual-override	'triage' -> 'tuning|models'	hot
10	2026-07-28	https://github.com/NVIDIA-AI-Blueprints	manual-override	'adjacent' -> 'learning|frameworks'	hot
17	2026-08-14	https://github.com/NVIDIA/cloud-native-stack	manual-override	'triage' -> 'serving|adjacent'	hot
16	2026-08-14	https://github.com/NanoNets/Graft	manual-override	'triage' -> 'codeintel|rag|harnesses'	hot
18	2026-08-14	https://github.com/SonarSource/sonarqube-cli	manual-override	'triage' -> 'codeintel|security|harnesses'	hot
36	2026-09-02	https://github.com/Untrivial-ai/agent-orchestrator	manual-override	'triage' -> 'harnesses|frameworks|adjacent'	hot
42	2026-09-02	https://github.com/VectifyAI/OpenKB	manual-override	'rag' -> 'rag|ingestion|memory'	hot
4	2026-07-28	https://github.com/affaan-m/ECC	tag-union	'triage' + 'skills|harnesses' -> 'triage|skills|harnesses'	cold
6	2026-07-28	https://github.com/affaan-m/ECC	manual-override	'triage|skills|harnesses' -> 'skills|harnesses'	hot
5	2026-07-28	https://github.com/affaan-m/agentshield	tag-union	'triage' + 'security' -> 'triage|security'	cold
