# seed-sections.tsv - curated owner/repo -> sections (GitHub category cannot be inferred from URL).
# Format: <owner/repo><TAB><sections(pipe)>.  Add rows as repos are categorized; this is DATA, not code.
1st1/lat.md	triage
Agents365-ai/drawio-skill	skills
Avaiga/taipy	frontend
Chachamaru127/claude-code-harness	harnesses
D4Vinci/Scrapling	ingestion|map
DeusData/codebase-memory-mcp	codeintel|memory
DietrichGebert/ponytail	triage
FareedKhan-dev/train-llm-from-scratch	tuning
Gentleman-Programming/engram	memory
GoogleCloudPlatform/knowledge-catalog	learning
HKUDS/OpenHarness	harnesses|map
HKUDS/nanobot	harnesses|map
HelixDB/helix-db	vectordb
InsForge/InsForge	harnesses|serving|skills
JuliusBrussee/caveman	skills|map
LMCache/LMCache	serving
LearningCircuit/local-deep-research	rag
Lum1104/Understand-Anything	triage
MemPalace/mempalace	memory|map
MemoriLabs/Memori	memory|map
NVIDIA/skills	skills|map
NousResearch/hermes-agent	harnesses
OpenHands/OpenHands	harnesses|map
OpenPipe/ART	tuning|map
Shubhamsaboo/awesome-llm-apps	learning
Sumanth077/Hands-On-AI-Engineering	learning
Sumanth077/ai-engineering-toolkit	learning
TableProApp/TablePro	triage
VILA-Lab/Dive-into-Claude-Code	skills
VectifyAI/OpenKB	rag|ingestion|memory
aaif-goose/goose	harnesses|map
activeloopai/deeplake	vectordb
addyosmani/agent-skills	skills|map
adithya-s-k/GitVizz	codeintel
affaan-m/ECC	skills|harnesses
affaan-m/agentshield	security
affaan-m/everything-claude-code	skills
agentforce314/clawcodex	harnesses
airweave-ai/airweave	triage
algorithmicsuperintelligence/optillm	triage
alibaba/open-code-review	codeintel
braedonsaunders/codeflow	codeintel
browser-use/browser-harness	harnesses|map
chopratejas/headroom	triage
chroma-core/chroma	vectordb
cloudflare/agentic-inbox	triage
colbymchenry/codegraph	codeintel
comet-ml/opik	eval|map
confident-ai/deepeval	eval|map
copilotkit/copilotkit	frontend|map
datalab-to/surya	ingestion|map
deeplethe/forkd	triage
dmtrKovalenko/fff.nvim	adjacent
docling-project/docling	ingestion|map
eugeniughelbur/obsidian-second-brain	triage
falkordb/falkordb	vectordb|map
firecrawl/firecrawl	ingestion|map
forrestchang/andrej-karpathy-skills	skills
garrytan/gbrain	triage
gboeing/osmnx	adjacent
getzep/graphiti	memory|map
github/spec-kit	learning
google/adk-python	frameworks|map
google/agents-cli	frameworks
google/langextract	ingestion|map
google/magika	security
graykode/abtop	triage
infiniflow/ragflow	rag|map
jsvine/pdfplumber	ingestion|map
koala73/worldmonitor	triage
kyegomez/OpenMythos	triage
langchain-ai/deepagents	frameworks|harnesses|map
langchain-ai/langchain	frameworks|map
liquidslr/system-design-notes	learning
markdown-viewer/skills	skills
memodb-io/Acontext	memory|map
mermaid-js/mermaid	adjacent
microsoft/AI-Engineering-Coach	learning
microsoft/agent-framework	frameworks|map
microsoft/agent-governance-toolkit	security|harnesses
microsoft/agent-lightning	tuning|map
milla-jovovich/mempalace	memory
milvus-io/milvus	vectordb
mintplex-labs/anything-llm	frontend|map
mitkox/ai-coding-factory	triage
mlflow/mlflow	eval|map
multica-ai/multica	triage
mvanhorn/cli-printing-press	adjacent
neuml/txtai	rag|map
nousresearch/hermes-agent	harnesses
ollama/ollama	serving
open-gitagent/gitagent	harnesses
open-gsd/gsd-core	triage
openai/evals	eval|map
openai/openai-agents-python	frameworks|map
openai/privacy-filter	security
openai/symphony	triage
openclaw/openclaw	harnesses|map
opendataloader-project/opendataloader-pdf	ingestion
paperclipai/paperclip	triage
phuryn/pm-skills	skills
presenton/presenton	frontend
reconurge/flowsint	triage
refactoringhq/tolaria	triage
repowise-dev/repowise	codeintel|map
rohitg00/agentmemory	memory
rohitg00/ai-engineering-from-scratch	learning
rohitg00/awesome-claude-code-toolkit	skills
rohitg00/kubectl-mcp-server	skills
